" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
"Just praising the Master. I never get tired of praising of the Master. Why don't you praise the Master with me, friend? ","Solo alababa al Maestro. Nunca me canso de alabar al Maestro. ¿Por qué no alabas al Maestro conmigo, amiga? "
"Just who are you? Let me see... Argh! An intruder...","¿Pero quién eres tú? Déjame ver... ¡Argh! Una intrusa..."
"Keep an eye out for us, Initiate.","Vela por nosotros, Iniciada."
"Keep an eye out, stranger. Trouble's brewing.","Mantente alerta, forastera, soplan vientos de guerra."
"Keep to the subject at hand, friend.","No te vayas por las ramas, amiga."
"Kid, people who play games with me wind up dead!","Chica, los que juegan conmigo acaban muertas!"
"Kiss my Holy Flame, pal!","¡Besa mi Llama Sagrada, amiga!"
"Know the piece of the grave, child!","¡Conoce el lugar de tu tumba, niña!"
"L.A. Boneyard's a rough place - be careful. Make sure everyone sticks to their shifts.","El Cementerio es un lugar peligroso. Ten cuidado. Asegúrate de que cada uno se queda en su puesto."
"L.A. Boneyard.","El Cementerio."
"Later punk!","¡Hasta luego, mocosa!"
"Later, normie!","¡Hasta luego, amiga!"
"Laugh-type stuff? But you're gonna look so funny when I box you up!","¿Graciosilla? ¡No te va a parecer tan gracioso cuando te empapele!"
"Let me know when you're ready. We'll wait for you, but don't take too long.","Dime cuando estés lista. Te esperaremos, pero no tardes mucho."
"Let's bury this hoodlum!","¡Enterremos a este matona!"
"Let's bury this loser!","¡Enterremos a esta perdedora!"
"Let's nail this scoundrel!","¡Agarremos a esta canalla!"
"Let's see how tough you are...","Veamos lo dura que eres..."
"Let's see what you're made of","Veamos de qué estás hecha"
"Like you don't know. You're obviously one of them, walking around in that metal suit. You're all a bunch of sick people.","Como si no lo supieras. Está claro que eres una de ellos, andando por ahí en ese traje de metal. Sois todos una panda de chiflados."
"Listen, freak, I told you to leave me alone in the first place. Now beat it!","Escucha mentecata, en primer lugar te he dicho que me dejes solo. ¡Lárgate!"
"Listen. Thanks for saving my life. It's a mighty brave thing to do. Looks like we got ourselves a situation here. I know Gizmo's behind this, but I need proof. You interested in helpin'?","Escucha. Gracias por salvarme la vida. Te has portado como una valiente. Parece que nos hemos metido en un lío. Sé que Gizmo está detrás de todo esto, pero necesito pruebas. ¿Quieres ayudarme?"
"Little light on funds, huh?","Escasa de fondos, ¿eh?"
"Look, 90% of the people in this city fall into one or more of three categories: rapists, murderers, or thieves. I'm a thief and you actually seem polite, so that makes me wonder, okay? Call it a survival instinct.","Mira, un 90% de la gente de esta ciudad pertenece a una de estas tres categorías: violadores, asesinos o ladrones. Yo soy ladrona y tú pareces muy educada, por lo que me haces dudar, ¿vale? Llámalo instinto de supervivencia."
"Loser!","¡Perdedora!"
"Loser! Gimme a fight!","¡Perdedora! ¡Lucha conmigo!"
"Loyal to myself. 500 caps. Take it or leave it.","Lealtad a mí misma. 500 en chapas. Lo tomas o lo dejas."
"Madam, I am a healer. You have no need for my services.","Señora, soy un curandero. No necesita mis servicios."
"Madam, I have already given you medication. I dare not administer a second dose now.","Señora, ya tiene sus medicinas. No me atrevo a administrarle una segunda dosis."
"Madam, forgive me, but I have no patience for long conversation. There are other people who may instruct you better than I. Please, excuse me.","Señora, perdóneme, pero no tengo la paciencia suficiente para mantener conversaciones largas. Otras personas podrían informarle mejor. Por favor, discúlpeme."
"Madam, you are injured. I can treat you if you wish. I am a healer.","Señora, está herido. Si quiere puedo hacer algo. Soy un curandero."
"Madam, you are seriously injured. I strongly recommend that you permit me to treat you. I am a healer.","Señora, está gravemente herido. Debería permitir que le tratase. Soy un curandero."
"Man! That really hurt!","¡Tía, eso me ha dolido!"
"Man, I can't do it! It'd be like shooting a dumb animal. Just get outta here, okay?","Tía, ¡no puedo hacerlo! Sería como matar a un animal tonto. Solo vete de aquí, ¿vale?"
"Man, I gotta get some work.","Tía, tengo que currar."
"Man, I just want to speak with a real human being. These zombies are giving me the creeps.","Tía, solo quiero hablar con un ser humano de verdad. Estos zombis me ponen la carne de gallina."
"Man, I must be out of my mind. But I'll take you. Let's go.","Tía, debo de haber perdido la cabeza. Pero te llevaré. Vamos."
"Man, I wish we had some of that stuff! After hours of listening to 'Hail this' and 'Peace', 'Unity', and the Bullshitting Way, I wanna get drunk too!","Tía, ¡ojalá tuviéramos un poco de eso! Después de tanto oír toda esa mierda de la Paz, la Unidad, las alabanzas y todo lo demás, ¡quiero emborracharme!"
"Man, I'm gonna be out of business in a week. Anything else, oh high and mighty?","Tía, estaré fuera del negocio una semana. Algo más, ¿alto y fuerte?"
"Man, some of the stories they say about that thing are just... well, they're something!","Tía, algunas de las historias que cuentan sobre eso son sólo... bien, ¡son algo!"
"Man, stay away from him! He's completely... I dunno if I can really describe him. Imagine the one person on Earth you don't wanna know. Lasher's worse.","Tía, ¡aléjate de él! Está completamente... No sé si podré describirlo. Imagínate a la persona del mundo que no querrías conocer. ¡Fustigador es peor!"
"Man, that was one hell of a battle! You did well in there. Now that Decker and Kane are gone the rest of the Underground will fall very shortly. Without leadership, organizations like that can't last. Nobody around here is smart enough to take up the reigns.","Tía, ¡aquella si que fue una batalla infernal! Lo hiciste muy bien. Ahora que Decker y Kane ya no están, el resto de los Clandestinos caerán pronto. Sin un líder, organizaciones como éstas no pueden durar. Nadie aquí es lo suficientemente listo como para tomar las riendas."
"Man, this is worse than a hangover","Tía, esto es peor que una resaca"
"Man, we're hiring dumb ones these days.","Tía, actualmente solo contratamos a imbéciles."
"Man, you do like the rare stuff! Where were you when I was selling some depleted uranium rounds a few years back? I don't do chips, though. Ain't a market in it. Anything else?","Tía, ¡te encanta el material rarito! ¿Dónde estabas tú cuando hace algunos años me dedicaba a la venta de casquillos de uranio vacíos? Además, no fabrico chips. No hay mercado para eso. ¿Algo más?"
"Man, you got no muscle!","Tía, ¡no tienes músculos!"
"Man, you musta spent too much time in the Glow!","Tía, ¡te habrás quedado demasiado tiempo en el Ardor!"
"Man, you suck!","Tía, ¡tú esnifas!"
"Man, you're stupid. Oh, sorry, I didn't mean to offend you. Now let's try this again. 'Yes' means I blow your head off. 'No' means you get your butt out of here. Which is it going to be?","Tía, eres estúpida. Oh, lo siento, No quería ofenderte. Ahora intentémoslo otra vez. ""Sí"" significa que te aplastaré la cabeza. ""No"" significa que te largarás de aquí. ¿Qué es lo que va a ser?"
"Many people, including myself.","Mucha gente, incluido yo misma."
"Master Thief","Ladrona Magistral"
"Master! An intruder!","¡Maestro! ¡Una intrusa!"
"Maybe. You definitely aren't one of those gangland shiv-shovers. What do you want?","Quizás. Sin duda no eres una de esos bandidos. ¿Qué quieres?"
"Me want Smart.","Yo querer ser Lista."
"Medication... Oh, so you're one of them, trying to get me to take my medication again... Well, you won't get me to. I WON'T TAKE IT! NO, I WON'T. THE VOICES. NO, I WON'T! YOU CAN'T MAKE ME. (He closes his eyes shut and clutches his head frantically, talking with the voices that only he can hear)","Medicamentos... Oh, así que eres una de ellos, quieres que vuelva a tomar esos medicamentos otra vez... Bueno, no lo conseguirás. ¡NO ME LAS TOMARÉ! NO, NO LO HARÉ. LAS VOCES. ¡NO, NO LO HARÉ! NO PUEDES OBLIGARME. (Cierra los ojos y se agarra la cabeza desesperadamente, hablando con las voces que solo él puede oír)"
"Mocking our holy cause is not appreciated. You will be punished if you continue.","No nos gusta que se burlen de nuestra causa sagrada. Si persistes, serás castigada."
"Motherfucking cocksucker! Shit! FUCK!","¡Maldita chupapollas! ¡Mierda! ¡JODER!"
"Move alone and continue your mission. I haven't the time for you.","Ve sola y continúa tu misión. No tengo tiempo para hablar contigo."
"Move faster, messenger.","Muévete más rápido, mensajera."
"Murdering dog!","¡Perra asesina!"
"My apologies. At the very least, you might be honestly seeking redemption for your crimes. How may I help you.","Discúlpame. Al menos, deberías ser honesta al buscar la redención para tus crímenes. ¿Cómo puedo ayudarte?"
"My child, you should know the Auditorium. I give my sermons there. ","Hija mía, deberías conocer el Auditorio. Yo doy mis sermones allí. "
"My eyes! Man, I like the way you fight","¡Mis ojos! Tía, me gusta tu forma de luchar"
"My eyes! Son of a Ripper...","¡Mis ojos! Hija de Destripador..."
"My eyes! You filthy swine!","¡Mis ojos! ¡Cerda asquerosa!"
"My eyes! You son of a Ripper...","¡Mis ojos! Hija de Destripador..."
"My friend, I hate to impose, but perhaps you could assist me. I have developed a sure-fire system because I have discovered how Gizmo runs his tables, but I do not have the caps to play.","Amiga, no me gusta imponerme, pero quizás puedas ayudarme. He inventado un sistema infalible porque he descubierto cómo lleva las mesas Gizmo, pero no tengo chapas para jugar."
"My friend, I see you are a man of much taste, as well. Perhaps a simple game of dice?","Amiga, veo que también eres una mujer de gustos selectos. ¿Qué tal una simple partida de dados?"
